test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5518782138824463 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5465328693389893 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5358114242553711 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.548119306564331 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5375001430511475 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5383613109588623 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5360846519470215 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5585663318634033 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5546092987060547 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5520548820495605 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5628211498260498 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5572574138641357 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5723090171813965 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5428223609924316 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5571959018707275 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5576553344726562 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5527331829071045 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5444033145904541 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.555861234664917 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5460691452026367 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5444369316101074 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5426933765411377 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.562781810760498 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5593967437744141 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5496628284454346 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5421807765960693 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5560383796691895 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5559890270233154 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5598154067993164 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5604984760284424 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5494213104248047 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5560362339019775 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5625190734863281 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5498297214508057 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5484092235565186 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5470941066741943 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5478122234344482 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.552121639251709 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5726635456085205 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5663511753082275 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5372393131256104 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5500946044921875 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5553901195526123 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5828990936279297 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5561676025390625 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5601251125335693 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5536761283874512 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.551539421081543 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5383403301239014 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.546879768371582 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5508441925048828 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5452589988708496 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5541582107543945 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5558655261993408 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5564308166503906 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5561838150024414 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5504124164581299 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5570132732391357 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5558590888977051 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5586564540863037 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5564675331115723 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5532865524291992 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5449514389038086 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5772631168365479 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5576765537261963 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5606603622436523 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.554741382598877 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5445470809936523 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5574367046356201 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5586698055267334 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.556342601776123 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5588538646697998 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5631682872772217 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5587365627288818 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5475986003875732 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5485918521881104 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5382695198059082 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.5569674968719482 time
