test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.56788516044617 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.55274772644043 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.59479331970215 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.039732217788696 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.48958396911621 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.48969745635986 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.535247802734375 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.57924222946167 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.551761865615845 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.44251990318298 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.64438199996948 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.48318791389465 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.52485632896423 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.55336117744446 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.60169959068298 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.62678599357605 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.5756139755249 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.547545194625854 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.548579931259155 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.96721863746643 time
